Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,code (product.metafields.custom.code),discount_value (product.metafields.custom.discount_value),gender (product.metafields.custom.gender),gender_list (product.metafields.custom.gender_list),type1 (product.metafields.custom.type1),type2 (product.metafields.custom.type2),type3 (product.metafields.custom.type3),with_images (product.metafields.custom.with_images),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
zipper-wallet-zipwallet01-green-leather-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_ZIPWALLET01_GREEN-LEATHER_1-01KFV0QB3KWHT8RA5018JXK2PG.jpg?v=1769417055,2,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
zipper-wallet-zipwallet01-green-leather-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_ZIPWALLET01_GREEN-LEATHER_2-01KFV0QC7Y82G4JWP3CRJDNPKF.jpg?v=1769417055,3,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
wordmark-hemp-underwear-2-pack-underwear-chlorophyll-navy-aw-25,Wordmark Hemp Underwear - 2 Pack,,MISTER GREEN,,"",with_images,false,size,L,,color,CHLOROPHYLL/NAVY,,,,,UNDERWEAR-CHLOROPHYLL-NAVY-AW-25-L-CHLOROPHYLL-NAVY-2700010517229,0.0,shopify,deny,manual,259.90,259.90,true,true,,,,,'2700010517229,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_UNDERWEAR_CHLOROPHYLL-NAVY_0-01KFV0PX5M6ZBEPKG8TS32Y1YK.jpg?v=1769417055,1,Product image by Kixbox,false,,,UNDERWEAR-CHLOROPHYLL/NAVY-AW-25,,,Mens,,Other,Accessories,TRUE,,,,,,kg,,,draft
wordmark-hemp-underwear-2-pack-underwear-chlorophyll-navy-aw-25,,,,,,,,,XL,,,CHLOROPHYLL/NAVY,,,,,UNDERWEAR-CHLOROPHYLL-NAVY-AW-25-XL-CHLOROPHYLL-NAVY-2700010517236,0.0,shopify,deny,manual,259.90,259.90,true,true,,,,,'2700010517236,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_UNDERWEAR_CHLOROPHYLL-NAVY_1-01KFV0Q0YFP5HQ4VXY2AZRJ30M.jpg?v=1769417055,2,Product image by Kixbox,,,,,,,,,,,,,,,,,kg,,,
wordmark-hemp-underwear-2-pack-underwear-chlorophyll-navy-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_UNDERWEAR_CHLOROPHYLL-NAVY_2-01KFV0Q2WM8VB85XN0X4WBTSPC.jpg?v=1769417055,3,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
wordmark-hemp-underwear-2-pack-underwear-chlorophyll-navy-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_UNDERWEAR_CHLOROPHYLL-NAVY_3-01KFV0Q0YTGHW6FCQFYH88QMDR.jpg?v=1769417055,4,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
wordmark-hemp-underwear-2-pack-underwear-chlorophyll-navy-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_UNDERWEAR_CHLOROPHYLL-NAVY_4-01KFV0Q65CMWN19XJAW1JB2JRV.jpg?v=1769417055,5,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
collection-15-tool-bag-set-toolbagset-chartreuse-red-black-aw-25,COLLECTION 15 TOOL BAG SET,,MISTER GREEN,,"",with_images,false,size,ONE SIZE,,color,CHARTREUSE / RED / BLACK,,,,,TOOLBAGSET-CHARTREUSE-RED-BLACK-AW-25-ONE-SIZE-CHARTREUSE-RED-BLACK-2700010517199,0.0,shopify,deny,manual,299.90,299.90,true,true,,,,,'2700010517199,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_TOOLBAGSET_CHARTREUSE---RED---BLACK_0-01KFV0PMK43NK8RB6YYT93P84E.jpg?v=1769417054,1,Product image by Kixbox,false,,,TOOLBAGSET-CHARTREUSE / RED / BLACK-AW-25,,,"Mens
Womens",,Other,Accessories,TRUE,,,,,,kg,,,draft
collection-15-tool-bag-set-toolbagset-chartreuse-red-black-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_TOOLBAGSET_CHARTREUSE---RED---BLACK_1-01KFV0PPR7N2BKD8QS15PX8075.jpg?v=1769417054,2,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
collection-15-tool-bag-set-toolbagset-chartreuse-red-black-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_TOOLBAGSET_CHARTREUSE---RED---BLACK_2-01KFV0PTZ7THRM6NQ6HWRTEYPC.jpg?v=1769417054,3,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
collection-15-tool-bag-set-toolbagset-chartreuse-red-black-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_TOOLBAGSET_CHARTREUSE---RED---BLACK_3-01KFV0PSV9MRH7ZAHSJ23EDJWJ.jpg?v=1769417054,4,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
collection-15-tool-bag-set-toolbagset-chartreuse-red-black-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_TOOLBAGSET_CHARTREUSE---RED---BLACK_4-01KFV0PVM2NVCAD2EW063R3WH2.jpg?v=1769417054,5,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
collection-15-tool-bag-set-toolbagset-chartreuse-red-black-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_TOOLBAGSET_CHARTREUSE---RED---BLACK_5-01KFV0PS9BEYQWD3NP76ZG4FS3.jpg?v=1769417054,6,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
collection-15-tool-bag-set-toolbagset-chartreuse-red-black-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_TOOLBAGSET_CHARTREUSE---RED---BLACK_6-01KFV0PTMS4Y4AXV7DW81TKGAQ.jpg?v=1769417054,7,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
tumi-ishi-montessori-stacking-blocks-stackingblocks01-green-natural-aw-25,TUMI ISHI MONTESSORI STACKING BLOCKS,,MISTER GREEN,,"",with_images,false,size,ONE SIZE,,color,GREEN/NATURAL,,,,,STACKINGBLOCKS01-GREEN-NATURAL-AW-25-ONE-SIZE-GREEN-NATURAL-2700010517182,0.0,shopify,deny,manual,199.90,199.90,true,true,,,,,'2700010517182,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_STACKINGBLOCKS01_GREEN-NATURAL_0-01KFV0PKVBJB9BE2YWHJDWKM4Y.jpg?v=1769417054,1,Product image by Kixbox,false,,,STACKINGBLOCKS01-GREEN/NATURAL-AW-25,,,"Mens
Womens",,Home Accessories,Accessories,TRUE,,,,,,kg,,,draft
tumi-ishi-montessori-stacking-blocks-stackingblocks01-green-natural-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_STACKINGBLOCKS01_GREEN-NATURAL_1-01KFV0PMC7V273WWC5ZVGYPM52.jpg?v=1769417054,2,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
hemp-athletic-crew-sock-sock01-natural-aw-25,HEMP ATHLETIC CREW SOCK,,MISTER GREEN,,"",with_images,false,color,NATURAL,,size,ONE SIZE,,,,,SOCK01-NATURAL-AW-25-ONE-SIZE-NATURAL-2700010517175,0.0,shopify,deny,manual,99.90,99.90,true,true,,,,,'2700010517175,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_SOCK01_NATURAL_0-01KFV0PNCD7XKQVED2B0PTPXCX.jpg?v=1769417053,1,Product image by Kixbox,false,,,SOCK01-NATURAL-AW-25,,,"Mens
Womens",Socks,Hosiery,Accessories,TRUE,,,,,,kg,,,draft
hemp-athletic-crew-sock-sock01-natural-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_SOCK01_NATURAL_1-01KFV0PP91CK3T1G99TVVP4215.jpg?v=1769417054,2,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
small-round-tote-grow-bag-smalltote01-green-aw-25,SMALL ROUND TOTE / GROW BAG,,MISTER GREEN,,"",with_images,false,color,GREEN,,size,ONE SIZE,,,,,SMALLTOTE01-GREEN-AW-25-ONE-SIZE-GREEN-2700010517144,0.0,shopify,deny,manual,179.90,179.90,true,true,,,,,'2700010517144,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_SMALLTOTE01_GREEN_0-01KFV0P9V2RA63JVZAG8AHVQFX.jpg?v=1769417053,1,Product image by Kixbox,false,,,SMALLTOTE01-GREEN-AW-25,,,"Mens
Womens",Tote Bag,Bag,Bags,TRUE,,,,,,kg,,,draft
small-round-tote-grow-bag-smalltote01-green-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_SMALLTOTE01_GREEN_1-01KFV0PEG82RG3157EYZS87RZ1.jpg?v=1769417053,2,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
small-round-tote-grow-bag-smalltote01-green-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_SMALLTOTE01_GREEN_2-01KFV0P9M27TQJBEBC78JH19XZ.jpg?v=1769417053,3,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
small-round-tote-grow-bag-smalltote01-natural-green-aw-25,SMALL ROUND TOTE / GROW BAG,,MISTER GREEN,,"",with_images,false,size,ONE SIZE,,color,NATURAL/GREEN,,,,,SMALLTOTE01-NATURAL-GREEN-AW-25-ONE-SIZE-NATURAL-GREEN-2700010517168,0.0,shopify,deny,manual,179.90,179.90,true,true,,,,,'2700010517168,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_SMALLTOTE01_NATURAL-GREEN_0-01KFV0P20H58G8F5E1ADW5N76X.jpg?v=1769417053,1,Product image by Kixbox,false,,,SMALLTOTE01-NATURAL/GREEN-AW-25,,,"Mens
Womens",Tote Bag,Bag,Bags,TRUE,,,,,,kg,,,draft
