,Handle,Title,Vendor,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Barcode,Image Src,Image Position,Image Alt Text,code (product.metafields.custom.code),gender_list (product.metafields.custom.gender_list),type1 (product.metafields.custom.type1),type2 (product.metafields.custom.type2),type3 (product.metafields.custom.type3),with_images (product.metafields.custom.with_images),Status
4274,single-knee-short-i032026-black-stone-washed-ss-24,Single Knee Short,CARHARTT WIP,with_images,False,size,31,color,BLACK (STONE WASHED),I032026-BLACK-STONE-WASHED-SS-24-31-BLACK-STONE-WASHED-2700008255812,399.9,399.9,'2700008255812,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-24_CARHARTT-WIP_I032026_BLACK-_STONE-WASHED__0-01K5V845SJPF80Q1HEZ4ZA80XG.jpg?v=1763384403,1.0,Product image by Kixbox,I032026-BLACK (STONE WASHED)-SS-24,Mens,Shorts,Shorts,Bottoms,True,draft
4282,s-s-university-t-shirt-i034851-white-black-ss-25,S/S University T-Shirt,CARHARTT WIP,with_images,True,color,WHITE / BLACK,size,L,I034851-WHITE-BLACK-SS-25-L-WHITE-BLACK-2700009381855,199.9,199.9,'2700009381855,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_CARHARTT-WIP_I034851_WHITE---BLACK_0-01K5V8S28EEXA10VVF1443T9SJ.jpg?v=1763384447,1.0,Product image by Kixbox,I034851-WHITE / BLACK-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,active
4288,canby-cap-i034601-black-white-ss-25,Canby Cap,CARHARTT WIP,no_images,False,size,ONE SIZE,color,BLACK / WHITE,I034601-BLACK-WHITE-SS-25-ONE-SIZE-BLACK-WHITE-2700009398273,239.9,239.9,'2700009398273,,,,I034601-BLACK / WHITE-SS-25,"Mens
Womens",Cap,Headwear,Accessories,,draft
4289,loose-work-pants-loose-work-pants-black-su-25,LOOSE WORK PANTS,ОКТЯБРЬ,with_images,True,size,30,color,BLACK,LOOSE-WORK-PANTS-BLACK-SU-25-30-BLACK-2700010023546,319.9,319.9,'2700010023546,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SU-25_LOOSE_WORK_PANTS_BLACK_0-01K9YSKVRQ716ZXTQ668S983G0.jpg?v=1763386290,1.0,Product image by Kixbox,LOOSE_WORK_PANTS-BLACK-SU-25,Mens,Pants,Pants,Bottoms,True,active
4296,s-s-deli-shirt-i034738-rainforest-white-ss-25,S/S Deli Shirt,CARHARTT WIP,with_images,False,size,M,color,RAINFOREST / WHITE,I034738-RAINFOREST-WHITE-SS-25-M-RAINFOREST-WHITE-2700009367286,499.9,499.9,'2700009367286,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_CARHARTT-WIP_I034738_RAINFOREST---WHITE_0-01K5V7C4PTSJNA67JAVMF58PVB.jpg?v=1763384440,1.0,Product image by Kixbox,I034738-RAINFOREST / WHITE-SS-25,Mens,Short Sleeve Shirt,Shirt,Shirts and Polos,True,draft
4303,leather-belt-ss25-leather-belt-ss25-black-ss-25,Leather Belt SS25,DEVA STATES,with_images,False,color,BLACK,size,ONE SIZE,LEATHER-BELT-SS25-BLACK-SS-25-ONE-SIZE-BLACK-2700009550077,449.9,449.9,'2700009550077,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_DEVA-STATES_LEATHER_BELT_SS25_BLACK_0-01K5V5PCX0615WNP9KDAJ5K1DF.jpg?v=1763384485,1.0,Product image by Kixbox,LEATHER_BELT_SS25-BLACK-SS-25,"Mens
Womens",Leather Belt,Belts,Accessories,True,draft
4306,w-drewe-short-i034834-black-rinsed-ss-25,W Drewe Short,CARHARTT WIP,no_images,False,size,25,color,BLACK (RINSED),I034834-BLACK-RINSED-SS-25-25-BLACK-RINSED-2700009379821,249.95,499.9,'2700009379821,,,,I034834-BLACK (RINSED)-SS-25,Womens,Shorts,Shorts,Bottoms,,draft
4307,brandon-short-i031921-black-stone-washed-ss-25,Brandon Short,CARHARTT WIP,no_images,False,color,BLACK (STONE WASHED),size,M,I031921-BLACK-STONE-WASHED-SS-25-M-BLACK-STONE-WASHED-2700009326832,449.9,449.9,'2700009326832,,,,I031921-BLACK (STONE WASHED)-SS-25,Mens,Denim Shorts,Shorts,Bottoms,,draft
4311,hooded-rotation-sweat-i034690-black-white-ss-25,Hooded Rotation Sweat,CARHARTT WIP,with_images,False,size,XL,color,BLACK / WHITE,I034690-BLACK-WHITE-SS-25-XL-BLACK-WHITE-2700009362090,294.95,589.9,'2700009362090,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_CARHARTT-WIP_I034690_BLACK---WHITE_0-01K9AQWGY3F3CRTSHM6124JGYF.jpg?v=1763384439,1.0,Product image by Kixbox,I034690-BLACK / WHITE-SS-25,Mens,Hooded Sweatshirt,Sweatshirt,Sweaters and Sweatshirts,True,draft
4316,canby-tote-bag-i034597-black-ss-25,Canby Tote Bag,CARHARTT WIP,with_images,False,color,BLACK,size,ONE SIZE,I034597-BLACK-SS-25-ONE-SIZE-BLACK-2700009398174,174.95,349.9,'2700009398174,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_CARHARTT-WIP_I034597_BLACK_0-01K5V6ACE75PDBQ9GHMRNFD7JM.jpg?v=1763384430,1.0,Product image by Kixbox,I034597-BLACK-SS-25,"Mens
Womens",Shopper Bag,Bag,Bags,True,draft
4320,brandon-pant-i035893-blue-stone-washed-aw-25,Brandon Pant,CARHARTT WIP,with_images,True,size,L,color,BLUE (STONE WASHED),I035893-BLUE-STONE-WASHED-AW-25-L-BLUE-STONE-WASHED-2700009900056,539.9,539.9,'2700009900056,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_CARHARTT-WIP_I035893_BLUE-_STONE-WASHED__0-01K78ZB3PE9MP7TZHHVASXAPEW.jpg?v=1763384483,1.0,Product image by Kixbox,I035893-BLUE (STONE WASHED)-AW-25,Mens,Jeans (Loose fit),Pants,Bottoms,True,active
4327,marv-short-i034813-black-stone-washed-ss-25,Marv Short,CARHARTT WIP,with_images,False,size,L,color,BLACK (STONE WASHED),I034813-BLACK-STONE-WASHED-SS-25-L-BLACK-STONE-WASHED-2700009375533,539.9,539.9,'2700009375533,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_CARHARTT-WIP_I034813_BLACK-_STONE-WASHED__0-01K5V8HR2PDQD79JQ6ANGEDPYN.jpg?v=1763384443,1.0,Product image by Kixbox,I034813-BLACK (STONE WASHED)-SS-25,Mens,Shorts,Shorts,Bottoms,True,draft
4334,jake-shoulder-pouch-i031582-liberica-ss-25,Jake Shoulder Pouch,CARHARTT WIP,no_images,False,size,ONE SIZE,color,LIBERICA,I031582-LIBERICA-SS-25-ONE-SIZE-LIBERICA-2700009391342,124.95,249.9,'2700009391342,,,,I031582-LIBERICA-SS-25,"Mens
Womens",Crossbody Bag,Bag,Bags,,draft
4335,madison-pack-socks-i034572-white-black-white-black-aw-25,Madison Pack Socks,CARHARTT WIP,with_images,True,color,WHITE / BLACK + WHITE / BLACK,size,ONE SIZE,I034572-WHITE-BLACK-WHITE-BLACK-AW-25-ONE-SIZE-WHITE-BLACK-WHITE-BLACK-2700009950259,99.9,99.9,'2700009950259,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_CARHARTT-WIP_I034572_WHITE---BLACK-_-WHITE---BLACK_0-01K76X0X1CQ182Z430KM340J1M.jpg?v=1763384430,1.0,Product image by Kixbox,I034572-WHITE / BLACK + WHITE / BLACK-AW-25,"Mens
Womens",,Hosiery,Accessories,True,active
4337,s-s-tire-t-shirt-i034666-ink-ss-25,S/S Tire T-Shirt,CARHARTT WIP,no_images,False,color,INK,size,S,I034666-INK-SS-25-S-INK-2700009359748,259.9,259.9,'2700009359748,,,,I034666-INK-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,,draft
4338,w-brandon-pant-i035892-blue-rinsed-aw-25,W' Brandon Pant,CARHARTT WIP,with_images,True,size,L,color,BLUE (RINSED),I035892-BLUE-RINSED-AW-25-L-BLUE-RINSED-2700009964546,0.0,,'2700009964546,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_CARHARTT-WIP_I035892_BLUE-_RINSED__0-01K78Z9P6J52JHZ5VJ0331NB24.jpg?v=1763384480,1.0,Product image by Kixbox,I035892-BLUE (RINSED)-AW-25,Womens,Jeans (Loose fit),Pants,Bottoms,True,active
4345,s-s-lecture-t-shirt-i034766-ink-heavy-enzyme-wash-ss-25,S/S Lecture T-Shirt,CARHARTT WIP,no_images,False,size,M,color,INK (HEAVY ENZYME WASH),I034766-INK-HEAVY-ENZYME-WASH-SS-25-M-INK-HEAVY-ENZYME-WASH-2700009368900,259.9,259.9,'2700009368900,,,,I034766-INK (HEAVY ENZYME WASH)-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,,draft
4347,philis-backpack-i031575-hamilton-brown-ss-25,Philis Backpack,CARHARTT WIP,with_images,False,size,ONE SIZE,color,HAMILTON BROWN,I031575-HAMILTON-BROWN-SS-25-ONE-SIZE-HAMILTON-BROWN-2700009391250,539.9,539.9,'2700009391250,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_CARHARTT-WIP_I031575_HAMILTON-BROWN_0-01K5V7Z3XT4ZBYC221DMGSZHJW.jpg?v=1763384397,1.0,Product image by Kixbox,I031575-HAMILTON BROWN-SS-25,"Mens
Womens",Backpack,Backpack,Bags,True,draft
4354,l-s-better-dreams-t-shirt-i035458-white-aw-25,L/S Better Dreams T-Shirt,CARHARTT WIP,with_images,True,color,WHITE,size,XXL,I035458-WHITE-AW-25-XXL-WHITE-2700009932064,309.9,309.9,'2700009932064,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_CARHARTT-WIP_I035458_WHITE_0-01K78Z8YZCFQGWC5YMBZXESGNV.jpg?v=1763384478,1.0,Product image by Kixbox,I035458-WHITE-AW-25,Mens,Sweater,T-shirt,Light Knitwear,True,active
4360,canby-swim-trunks-i034570-clay-blue-white-ss-25,Canby Swim Trunks,CARHARTT WIP,no_images,False,size,XL,color,CLAY BLUE / WHITE,I034570-CLAY-BLUE-WHITE-SS-25-XL-CLAY-BLUE-WHITE-2700009351407,174.95,349.9,'2700009351407,,,,I034570-CLAY BLUE / WHITE-SS-25,Mens,Swim Shorts,Shorts,Bottoms,,draft
4364,s-s-catalogue-c-logo-t-shirt-i034761-white-ss-25,S/S Catalogue C Logo T-Shirt,CARHARTT WIP,with_images,False,size,M,color,WHITE,I034761-WHITE-SS-25-M-WHITE-2700009367644,259.9,259.9,'2700009367644,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_CARHARTT-WIP_I034761_WHITE_0-01K5V84YBR63602QSQAVEQN3M5.jpg?v=1763384441,1.0,Product image by Kixbox,I034761-WHITE-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,draft
4370,s-s-cairn-man-t-shirt-i034656-white-ss-25,S/S Cairn Man T-Shirt,CARHARTT WIP,no_images,False,size,M,color,WHITE,I034656-WHITE-SS-25-M-WHITE-2700009357539,119.95,239.9,'2700009357539,,,,I034656-WHITE-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,,draft
4371,w-s-s-jake-garcia-t-shirt-i035258-black-su-25,W' S/S Jake Garcia T-Shirt,CARHARTT WIP,with_images,False,size,XS,color,BLACK,I035258-BLACK-SU-25-XS-BLACK-2700009706573,309.9,309.9,'2700009706573,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SU-25_CARHARTT-WIP_I035258_BLACK_0-01K78Z4FJ88327J12BWKW24C5C.jpg?v=1763384475,1.0,Product image by Kixbox,I035258-BLACK-SU-25,Womens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,draft
4377,lincoln-shirt-jac-i034735-blue-worn-used-wash-ho-24,Lincoln Shirt Jac,CARHARTT WIP,no_images,False,color,BLUE (WORN USED WASH),size,M,I034735-BLUE-WORN-USED-WASH-HO-24-M-BLUE-WORN-USED-WASH-2700009210827,699.9,699.9,'2700009210827,,,,I034735-BLUE (WORN USED WASH)-HO-24,Mens,Denim Jacket,Jacket,Outerwear,,draft
4379,w-nelson-a-shirt-i034514-graphite-garment-dyed-ss-25,W Nelson A-Shirt,CARHARTT WIP,with_images,False,size,XS,color,GRAPHITE (GARMENT DYED),I034514-GRAPHITE-GARMENT-DYED-SS-25-XS-GRAPHITE-GARMENT-DYED-2700009397689,199.9,199.9,'2700009397689,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_CARHARTT-WIP_I034514_GRAPHITE-_GARMENT-DYED__0-01K5V8VTYFZS9PNJMXF003ZTP7.jpg?v=1763384426,1.0,Product image by Kixbox,I034514-GRAPHITE (GARMENT DYED)-SS-25,Womens,Knitted Tank Top,Tank Top,Light Knitwear,True,draft
4385,w-s-s-ingo-t-shirt-i034648-undyed-ss-25,W S/S Ingo T-Shirt,CARHARTT WIP,no_images,False,size,S,color,UNDYED,I034648-UNDYED-SS-25-S-UNDYED-2700009356228,259.9,259.9,'2700009356228,,,,I034648-UNDYED-SS-25,Womens,T-shirt Short Sleeve,T-shirt,Light Knitwear,,draft
4386,single-knee-short-i031504-yosemite-garment-dyed-ss-25,Single Knee Short,CARHARTT WIP,with_images,False,size,29,color,YOSEMITE (GARMENT DYED),I031504-YOSEMITE-GARMENT-DYED-SS-25-29-YOSEMITE-GARMENT-DYED-2700009323510,449.9,449.9,'2700009323510,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_CARHARTT-WIP_I031504_YOSEMITE-_GARMENT-DYED__0-01K9AQV41WXV9TJQ15JT1R7YVR.jpg?v=1763384394,1.0,Product image by Kixbox,I031504-YOSEMITE (GARMENT DYED)-SS-25,Mens,Shorts,Shorts,Bottoms,True,draft
